GenBank.1	virus
V01116.1	HPV1
X55964.1	HPV2
X74462.1	HPV3
X70827.1	HPV4
M17463.1	HPV5
X00203.1	HPV6
X74463.1	HPV7
M12737.1	HPV8
X74464.1	HPV9
X74465.1	HPV10
M14119.1	HPV11
X74466.1	HPV12
X62843.1	HPV13
X74467.1	HPV14
X74468.1	HPV15
K02718.1	HPV16
X74469.1	HPV17
X05015.1	HPV18
X74470.1	HPV19
U31778.1	HPV20
U31779.1	HPV21
U31780.1	HPV22
U31781.1	HPV23
U31782.1	HPV24
X74471.1	HPV25
X74472.1	HPV26
X74473.1	HPV27
U31783.1	HPV28
U31784.1	HPV29
X74474.1	HPV30
J04353.1	HPV31
X74475.1	HPV32
M12732.1	HPV33
X74476.1	HPV34
X74477.1	HPV35
U31785.1	HPV36
U31786.1	HPV37
U31787.1	HPV38
M62849.1	HPV39
X74478.1	HPV40
X56147.1	HPV41
M73236.1	HPV42
AJ620205.1	HPV43
U31788.1	HPV44
X74479.1	HPV45
M32305.1	HPV47
U31789.1	HPV48
X74480.1	HPV49
U31790.1	HPV50
M62877.1	HPV51
X74481.1	HPV52
X74482.1	HPV53
U37488.1	HPV54
X74483.1	HPV56
X55965.1	HPV57
D90400.1	HPV58
X77858.1	HPV59
U31792.1	HPV60
U31793.1	HPV61
AY395706.1	HPV62
X70828.1	HPV63
X70829.1	HPV65
U31794.1	HPV66
D21208.1	HPV67
DQ080079.1	HPV68
AB027020.1	HPV69
U21941.1	HPV70
AB040456.1	HPV71
X94164.1	HPV72
X94165.1	HPV73
AF436130.1	HPV74
Y15173.1	HPV75
Y15174.1	HPV76
Y15175.1	HPV77
Y15176.1	HPV80
AJ620209.1	HPV81
AB027021.1	HPV82
AF151983.1	HPV83
AF293960.1	HPV84
AF131950.1	HPV85
AF349909.1	HPV86
AJ400628.1	HPV87
EF467176.1	HPV88
AF436128.1	HPV89
AY057438.1	HPV90
AF419318.1	HPV91
AF531420.1	HPV92
AY382778.1	HPV93
AJ620211.1	HPV94
AJ620210.1	HPV95
AY382779.1	HPV96
DQ080080.1	HPV97
FM955837.1	HPV98
FM955838.1	HPV99
FM955839.1	HPV100
DQ080081.1	HPV101
DQ080083.1	HPV102
DQ080078.1	HPV103
FM955840.1	HPV104
FM955841.1	HPV105
DQ080082.1	HPV106
EF422221.1	HPV107
FM212639.1	HPV108
EU541441.1	HPV109
EU410348.1	HPV110
EU410349.1	HPV111
EU541442.1	HPV112
FM955842.1	HPV113
GQ244463.1	HPV114
FJ947080.1	HPV115
FJ804072.1	HPV116
GQ246950.1	HPV117
GQ246951.1	HPV118
GQ845441.1	HPV119
GQ845442.1	HPV120
GQ845443.1	HPV121
GQ845444.1	HPV122
GQ845445.1	HPV123
GQ845446.1	HPV124
FN547152.1	HPV125
AB646346.1	HPV126
HM011570.1	HPV127
GU225708.1	HPV128
GU233853.1	HPV129
GU117630.1	HPV130
GU117631.1	HPV131
GU117632.1	HPV132
GU117633.1	HPV133
GU117634.1	HPV134
HM999987.1	HPV135
HM999988.1	HPV136
HM999989.1	HPV137
HM999990.1	HPV138
HM999991.1	HPV139
HM999992.1	HPV140
HM999993.1	HPV141
HM999994.1	HPV142
HM999995.1	HPV143
HM999996.1	HPV144
HM999997.1	HPV145
HM999998.1	HPV146
HM999999.1	HPV147
GU129016.1	HPV148
GU117629.1	HPV149
FN677755.1	HPV150
FN677756.1	HPV151
JF304768.1	HPV152
JN171845.1	HPV153
JN211193.1	HPV154
JF906559.1	HPV155
JX429973.1	HPV156
KT698166.1	HPV157
KT698168.1	HPV158
HE963025.1	HPV159
AB745694.1	HPV160
JX413109.1	HPV161
JX413108.1	HPV162
JX413107.1	HPV163
JX413106.1	HPV164
JX444072.1	HPV165
JX413104.1	HPV166
KC862318.1	HPV167
KC862317.1	HPV168
JX413105.1	HPV169
JX413110.1	HPV170
KF006398.1	HPV171
KF006399.1	HPV172
KF006400.1	HPV173
HF930491.1	HPV174
KC108721.1	HPV175
KJ130020.1	HPV178
HG421739.1	HPV179
KC108722.1	HPV180
HG530535.1	HPV184
KR816174.1	HPV187
KM085343.1	HPV197
KJ913662.1	HPV199
KP692114.1	HPV200
JF966378.1	HPV-mCG2
JF966379.1	HPV-mCG3
KF791917.1	HPV-mCH2
JF966375.1	HPV-mFD1
JF966376.1	HPV-mFD2
JF966373.1	HPV-mFS1
KC311731.1	HPV-mFi864
JX444073.1	HPV-mKC5
JF966371.1	HPV-mKN1
JF966372.1	HPV-mKN2
JF966374.1	HPV-mKN3
KF482069.1	HPV-mL55
U85660.1	HPV-mRTRX7
KC113191.1	HPV-mSD2
NC_003977.1	HBV
NC_004102.1	HCV-1
NC_009823.1	HCV-2
NC_009824.1	HCV-3
NC_009825.1	HCV-4
NC_009826.1	HCV-5
NC_009827.1	HCV-6
NC_001653.2	Hepatitis delta virus
NC_001434.1	HEV
NC_007605.1	EBV-1
NC_009334.1	EBV-2
NC_001806.1	Human herpesvirus 1 (CMV-1)
NC_001798.1	Human herpesvirus 2  (CMV-2)
NC_001348.1	Human herpesvirus 3  (CMV-3)
NC_001669.1	SV40
NC_006428.1	SV41
NC_009333.1	KSHV
NC_001436.1	HTLV-1
NC_001488.1	HTLV-2
NC_011800.1	HTLV-3
